,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,0.25232788625726243
1,2021-04-01,2021-06-30,-0.23461033336689943
2,2021-07-01,2021-09-30,3.5921601023020564
3,2021-10-01,2021-12-31,-0.6269457894536583
4,2022-01-03,2022-03-31,-2.002991290733088
5,2022-04-01,2022-06-30,7.934808662066464
6,2022-07-01,2022-09-30,5.764634915308792
7,2022-10-03,2022-12-30,-6.297104295031601
8,2023-01-03,2023-03-31,0.3922693293766988
9,2023-04-03,2023-06-30,0.42148644529581464
10,2023-07-03,2023-09-29,3.2087885497548028
11,2023-10-02,2023-12-29,-5.379936121860268
