,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,2.2481831046779215
1,2021-04-01,2021-06-30,-0.5639493351727075
2,2021-07-01,2021-09-30,2.203746843963062
3,2021-10-01,2021-12-31,1.2575718168995274
4,2022-01-03,2022-03-31,0.6265010021452417
5,2022-04-01,2022-06-30,6.149878901295058
6,2022-07-01,2022-09-30,6.5575614757707195
7,2022-10-03,2022-12-30,-6.549253299616714
8,2023-01-03,2023-03-31,-1.331927314326713
9,2023-04-03,2023-06-30,0.5645066761434231
10,2023-07-03,2023-09-29,3.0301781379934685
11,2023-10-02,2023-12-29,-5.044217592182557
