,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,0.7139065164766314
1,2021-04-01,2021-06-30,1.0010442337030636
2,2021-07-01,2021-09-30,0.13835158135960268
3,2021-10-01,2021-12-31,0.2452153612779937
4,2022-01-03,2022-03-31,1.632998417751889
5,2022-04-01,2022-06-30,4.339746899892858
6,2022-07-01,2022-09-30,3.843146265300026
7,2022-10-03,2022-12-30,0.3178930561718793
8,2023-01-03,2023-03-31,-0.8203036318518683
9,2023-04-03,2023-06-30,0.5245162493647045
10,2023-07-03,2023-09-29,1.4550124936160267
11,2023-10-02,2023-12-29,-1.2863538592457666
