,Date,CNY,INR,USD,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99510.45838896307,98928.02450229709,100314.68053085236,298753.1634221125,True
2,2021-01-06,99610.59190031153,98928.02450229709,100383.08934190724,298921.7057445159,True
3,2021-01-07,99944.37027147308,98928.02450229709,100369.40757969626,299241.80235346645,True
4,2021-01-08,100244.77080551848,99234.30321592648,100492.54343959501,299971.61746104,True
5,2021-01-11,100734.31241655542,99081.16385911178,100383.08934190724,300198.56561757444,True
6,2021-01-12,100189.14107699155,99234.30321592648,100574.63401286087,299998.0783057789,True
7,2021-01-13,100489.54161103694,98928.02450229709,100109.45409768778,299527.0202110218,False
8,2021-01-14,100400.53404539387,99081.16385911178,100109.45409768778,299591.15200219344,True
9,2021-01-15,101001.33511348465,99081.16385911178,100000.0,300082.4989725964,False
10,2021-01-19,100689.80863373388,99387.44257274119,100136.81762210972,300214.0688285848,False
11,2021-01-20,100656.43079661771,99234.30321592648,100136.81762210972,300027.55163465394,False
12,2021-01-21,100278.14864263462,99081.16385911178,99753.72828020249,299113.0407819489,True
13,2021-01-22,100400.53404539387,98928.02450229709,99808.45532904638,299137.0138767373,False
14,2021-01-25,100567.42323097464,99234.30321592648,99876.86414010124,299678.59058700234,True
15,2021-01-26,100322.65242545617,99234.30321592648,99835.81885346833,299392.774494851,True
16,2021-01-27,100856.69781931465,98928.02450229709,99767.41004241345,299552.1323640252,False
17,2021-01-28,29981.1199255784,29981.1199255784,239499.38460497576,299461.62445613253,True
18,2021-01-29,30020.891475335968,29842.318444441466,239171.48292835336,299034.6928481308,False
19,2021-02-01,29898.961704016394,29898.588993155532,239191.3973643973,298988.94806156924,True
20,2021-02-02,29958.089512264283,30084.583325927884,239880.33157707768,299923.0044152698,False
21,2021-02-03,29931.810486376336,30038.084742734794,239224.20375547736,299194.0989845885,False
22,2021-02-04,30066.490494052086,30038.084742734794,239027.36540899723,299131.94064578414,False
23,2021-02-05,29931.20945595817,29931.273771513374,239449.87145332224,299312.35468079377,True
24,2021-02-08,29871.81848108532,29871.81848108532,238974.34127392492,298717.9782360956,True
25,2021-02-09,29895.25752479561,29895.42899907774,239165.75534776048,298956.4418716338,True
26,2021-02-10,29857.82530953777,29857.687657336428,238862.60247630204,298578.11544317624,True
27,2021-02-11,29874.345075671186,29996.99257642198,238731.44936581407,298602.78701790725,False
28,2021-02-12,29894.168795031284,29996.99257642198,238403.56658959397,298294.72796104726,False
29,2021-02-16,29904.080654711335,29996.99257642198,238174.04864623997,298075.1218773733,False
30,2021-02-17,29917.135587038563,29917.135587038563,239336.55458783585,299170.825761913,True
31,2021-02-18,29798.71701846975,29917.135587038563,238909.9297133477,298625.782318856,False
32,2021-02-19,29723.060710773003,30056.06965323224,238286.4010506343,298065.53141463955,False
33,2021-02-22,29607.931546886655,30056.06965323224,238089.49726240902,297753.49846252793,False
34,2021-02-23,29660.56202180613,29917.135587038563,237728.506983996,297306.2045928407,False
35,2021-02-24,29663.851426488596,29917.135587038563,237531.60319577067,297112.59020929784,False
36,2021-02-25,29716.00595221667,29716.17777819607,237729.09197102234,297161.27570143505,True
37,2021-02-26,29984.158995826627,29983.385505221027,239873.3599667188,299840.90446776646,True
38,2021-03-01,30148.905594107517,30149.16146315606,241193.8190608527,301491.88611811626,True
39,2021-03-02,30036.568679770728,30036.568679770728,240292.42679871866,300365.5641582601,True
40,2021-03-03,30089.5023837994,30083.06491611712,240194.09406370352,300366.6613636201,False
41,2021-03-04,30314.47062592126,30083.06491611712,238882.990930168,299280.52647220634,False
42,2021-03-05,30430.263103483987,30083.06491611712,239702.43038862766,300215.75840822875,False
43,2021-03-08,30539.43886804313,30222.553625156306,239702.43038862766,300464.4228818271,False
44,2021-03-09,30423.6463904804,30315.546097849092,240357.9819553954,301097.1744437249,False
45,2021-03-10,29919.166933823682,29919.166933823682,239351.34141684286,299189.6752844902,True
46,2021-03-11,29798.564561391886,29873.208152051295,239121.13265208356,298792.90536552673,False
47,2021-03-12,29860.14854320554,29860.066346678184,238881.18834564424,298601.403235528,True
48,2021-03-15,29909.00349828277,29906.075693899566,239012.7308502399,298827.81004242226,False
49,2021-03-16,29922.03148630337,29906.075693899566,238486.56083185738,298314.66801206034,False
50,2021-03-17,29768.952627061368,29952.08504112095,238486.56083185738,298207.5985000397,False
51,2021-03-18,29915.51749229307,29906.075693899566,237763.07705658147,297584.6702427741,False
52,2021-03-19,29938.316471329115,29906.075693899566,238979.84522409097,298824.23738931963,False
53,2021-03-22,29899.232507267327,29906.075693899566,238091.93331807054,297897.2415192374,False
54,2021-03-23,30075.11034554537,29952.08504112095,238026.16206577272,298053.357452439,False
55,2021-03-24,30136.9932886432,29952.08504112095,238782.5314671975,298871.60979696165,False
56,2021-03-25,30250.98818382341,29952.08504112095,238914.07397179314,299117.1471967375,False
57,2021-03-26,30215.161216766774,30090.1130827851,238782.5314671975,299087.80576674937,False
58,2021-03-29,29861.700469745454,29861.700469745454,238892.0116478818,298615.4125873727,True
59,2021-03-30,29977.368773695405,29998.68074712961,239848.23916172425,299824.28868254926,False
60,2021-03-31,30213.642509451583,30213.751948590685,241714.32509138764,302141.7195494299,True
61,2021-04-01,30116.419590296424,30121.777056814153,240891.60785145778,301129.80449856835,False
62,2021-04-05,30170.316199447247,30170.719059202376,241365.75247361892,301706.78773226857,True
63,2021-04-06,30085.60472847688,30170.719059202376,241036.82667302803,301293.15046070726,False
64,2021-04-07,30188.363189292686,30188.13395987139,241508.18112278523,301884.6782719493,True
65,2021-04-08,30057.762440042014,30188.133959871393,244498.68928473565,304744.58568464906,False
66,2021-04-09,30527.25317521829,30527.612651801803,244226.7786215693,305281.6444485894,True
67,2021-04-12,30520.62833728964,30527.612651801803,244849.30462020222,305897.5456092937,False
68,2021-04-13,30424.568187324217,30527.612651801803,245701.18230254197,306653.363141668,False
69,2021-04-14,30371.56948389502,30481.00560958531,246323.70830117498,307176.28339465533,False
70,2021-04-15,30364.944645966374,30434.398567368822,245832.24040751733,306631.5836208525,False
71,2021-04-16,30328.5080373588,30387.79152515233,244849.30462020222,305565.6041827134,False
72,2021-04-19,30166.199508106878,30341.184482935834,244292.30767405697,304799.6916650997,False
73,2021-04-20,30222.510630500397,30341.184482935834,245340.77251385976,305904.467627296,False
74,2021-04-21,30196.011278785798,30294.577440719346,247208.35050975854,307698.9392292637,False
75,2021-04-22,30252.322401179325,30247.970398502857,247142.8214572709,307643.1142569531,False
76,2021-04-23,30096.63870985605,30247.970398502857,246028.8275649804,306373.43667333934,False
77,2021-04-26,30562.397433416518,30562.816905541153,244508.8440009226,305634.05833988026,True
78,2021-04-27,30596.052754893684,30515.724737736007,244312.8972847472,305424.6747773769,False
79,2021-04-28,30453.99219482436,30453.99219482436,243631.68065141584,304539.66504106455,True
80,2021-04-29,30453.99219482436,30453.99219482436,242782.22058745762,303690.20497710636,False
81,2021-04-30,30679.17898182946,30406.995293289136,242128.78976902817,303214.96404414676,False
82,2021-05-03,30568.2660867374,30406.995293289136,242063.44668718523,303038.7080672118,False
83,2021-05-04,30233.619343608814,30233.619343608814,241867.39997974705,302334.63866696466,True
84,2021-05-05,30240.24298679944,30233.619343608818,241670.86633946013,302144.7286698684,False
85,2021-05-06,30121.017409368185,30233.619343608818,241736.3775528891,302091.0143058661,False
86,2021-05-07,30121.02606060035,30121.62332976181,240972.9866380944,301215.63602845656,True
87,2021-05-10,30114.349561418123,29981.739630087992,239892.83062626922,299988.9198177753,False
88,2021-05-11,30090.981814280345,29935.11173019672,240580.2026337943,300606.29617827135,False
89,2021-05-12,30281.262040973703,29981.739630087992,240187.4186294942,300450.4203005559,False
90,2021-05-13,30294.615039338158,30121.623329761806,241169.3786402444,301585.61700934434,False
91,2021-05-14,30151.070306920352,30074.995429870538,240383.81063164424,300609.8763684351,False
92,2021-05-17,30117.687811009237,30028.367529979267,239860.09862591085,300006.1539668994,False
