Date,Open,High,Low,Close,Volume
2021-01-04,82.79,82.79,80.5,81.34,317700
2021-01-05,81.32,82.08,81.28,81.93,116300
2021-01-06,81.68,83.23,81.6,82.58,126600
2021-01-07,83.02,83.99,83.02,83.88,544700
2021-01-08,84.07,84.4,83.46,84.38,152700
2021-01-11,83.76,84.27,83.62,83.88,157200
2021-01-12,84.01,84.21,83.54,84.02,136700
2021-01-13,84.13,84.41,83.87,84.17,321600
2021-01-14,84.36,84.37,83.74,83.85,108900
2021-01-15,83.48,83.73,82.85,83.34,162800
2021-01-19,83.81,84.1,83.57,84.03,265400
2021-01-20,84.41,85.26,84.41,85.12,254300
2021-01-21,85.32,85.47,84.86,85.11,197200
2021-01-22,84.77,85.07,84.58,84.88,187500
2021-01-25,85.1,85.32,84.0,85.18,151500
2021-01-26,85.46,85.46,84.81,84.9,341100
2021-01-27,84.3,84.3,82.42,82.94,439700
2021-01-28,83.4,84.53,83.23,83.63,215200
2021-01-29,83.34,83.43,81.56,82.04,219500
2021-02-01,82.85,83.66,82.39,83.45,134400
2021-02-02,84.24,84.85,84.09,84.52,90600
2021-02-03,84.8,84.96,84.29,84.67,101600
2021-02-04,84.86,85.67,84.78,85.67,115700
2021-02-05,86.11,86.11,85.73,85.97,106800
2021-02-08,86.25,86.69,86.16,86.69,143800
2021-02-09,86.58,86.68,86.38,86.55,106000
2021-02-10,86.84,87.01,86.1,86.57,150400
2021-02-11,86.89,87.07,86.37,86.81,107300
2021-02-12,86.76,87.31,86.63,87.27,107100
2021-02-16,87.72,87.72,87.05,87.15,147300
2021-02-17,86.85,87.06,86.39,87.05,150900
2021-02-18,86.54,86.8,85.99,86.66,79400
2021-02-19,87.07,87.14,86.5,86.64,1631600
2021-02-22,86.04,86.39,85.78,85.86,103400
2021-02-23,85.28,86.0,84.1,85.66,121800
2021-02-24,85.58,86.76,85.19,86.69,124100
2021-02-25,86.36,86.56,84.05,84.44,104400
2021-02-26,84.95,85.07,83.55,83.97,126700
2021-03-01,85.23,86.34,85.0,86.04,114200
2021-03-02,86.18,86.3,85.37,85.43,109400
2021-03-03,85.29,85.44,83.96,83.99,1722400
2021-03-04,83.72,84.3,81.63,82.63,349300
2021-03-05,83.67,84.53,81.68,84.36,109900
2021-03-08,84.66,85.2,83.75,83.81,2941100
2021-03-09,84.84,85.7,84.84,85.1,192200
2021-03-10,85.73,86.02,85.42,85.63,138900
2021-03-11,86.26,87.17,86.26,86.8,124900
2021-03-12,86.52,86.74,86.12,86.71,127000
2021-03-15,86.62,87.58,86.51,87.56,443200
2021-03-16,87.81,87.83,87.1,87.3,105100
2021-03-17,86.82,87.67,86.68,87.56,242400
2021-03-18,87.01,87.39,86.08,86.24,199100
2021-03-19,86.32,86.58,85.59,86.15,4511700
2021-03-22,86.3,87.21,86.3,86.95,102300
2021-03-23,86.95,87.05,86.02,86.23,147700
2021-03-24,86.43,86.81,85.72,85.75,118000
2021-03-25,85.04,86.16,84.66,85.98,181400
2021-03-26,86.34,87.62,86.21,87.59,137400
2021-03-29,87.35,87.67,86.78,87.43,101900
2021-03-30,87.33,87.44,86.91,87.24,85100
2021-03-31,87.6,88.2,87.56,87.82,84900
2021-04-01,88.35,88.83,88.28,88.83,169100
2021-04-05,89.57,90.12,89.43,90.04,112800
2021-04-06,90.04,90.32,89.88,89.99,144400
2021-04-07,90.02,90.09,89.7,89.94,222000
2021-04-08,90.43,90.43,90.05,90.43,94800
2021-04-09,90.47,91.09,90.38,91.09,256300
2021-04-12,91.0,91.19,90.76,91.11,137100
2021-04-13,91.11,91.57,91.11,91.49,89800
2021-04-14,91.43,91.72,91.01,91.09,71900
2021-04-15,91.74,92.2,91.44,92.19,79300
2021-04-16,92.57,92.57,92.15,92.41,174500
2021-04-19,92.25,92.25,91.49,91.83,108400
2021-04-20,91.74,91.9,91.02,91.31,86200
2021-04-21,91.11,92.3,91.11,92.26,92200
2021-04-22,92.3,92.5,91.29,91.57,96700
2021-04-23,91.56,92.79,91.56,92.47,1497200
