Date,Open,High,Low,Close,Volume
2021-01-04,20.42,20.5,20.41,20.42,24700
2021-01-05,20.42,20.42,20.37,20.42,22000
2021-01-06,20.39,20.41,20.37,20.41,34400
2021-01-07,20.35,20.35,20.32,20.35,3800
2021-01-08,20.36,20.4,20.34,20.39,7900
2021-01-11,20.31,20.36,20.31,20.32,10500
2021-01-12,20.28,20.33,20.25,20.31,65100
2021-01-13,20.37,20.42,20.35,20.39,8600
2021-01-14,20.4,20.4,20.3,20.32,31200
2021-01-15,20.32,20.33,20.3,20.33,17200
2021-01-19,20.42,20.43,20.35,20.39,145400
2021-01-20,20.37,20.44,20.34,20.36,43000
2021-01-21,20.36,20.37,20.35,20.35,3800
2021-01-22,20.34,20.4,20.33,20.38,9000
2021-01-25,20.38,20.43,20.38,20.4,92700
2021-01-26,20.42,20.45,20.33,20.34,28800
2021-01-27,20.35,20.39,20.29,20.34,13300
2021-01-28,20.38,20.4,20.35,20.35,11400
2021-01-29,20.36,20.36,20.32,20.32,7300
2021-02-01,20.54,20.54,20.34,20.39,11000
2021-02-02,20.36,20.39,20.29,20.37,35500
2021-02-03,20.37,20.37,20.32,20.32,4800
2021-02-04,20.32,20.45,20.3,20.44,41500
2021-02-05,20.38,20.43,20.38,20.4,22200
2021-02-08,20.36,20.4,20.32,20.39,33300
2021-02-09,20.37,20.42,20.32,20.38,38000
2021-02-10,20.41,20.45,20.37,20.41,26400
2021-02-11,20.37,20.44,20.34,20.4,18800
2021-02-12,20.32,20.34,20.3,20.33,5100
2021-02-16,20.3,20.3,20.22,20.23,6800
2021-02-17,20.36,20.36,20.24,20.25,8000
2021-02-18,20.28,20.36,20.25,20.36,20000
2021-02-19,20.31,20.36,20.21,20.25,34500
2021-02-22,20.22,20.23,20.19,20.21,4200
2021-02-23,20.19,20.23,20.18,20.2,14400
2021-02-24,20.17,20.24,20.1,20.17,5600
2021-02-25,20.17,20.17,20.01,20.01,22200
2021-02-26,20.02,20.14,20.02,20.07,20700
2021-03-01,20.19,20.2,20.13,20.17,4300
2021-03-02,20.19,20.19,20.12,20.13,1700
2021-03-03,20.08,20.08,20.07,20.08,5500
2021-03-04,20.12,20.12,20.06,20.06,52400
2021-03-05,20.04,20.04,19.99,20.02,50400
2021-03-08,19.99,19.99,19.9,19.92,21000
2021-03-09,20.06,20.07,20.02,20.03,5900
2021-03-10,20.08,20.08,20.0,20.08,4300
2021-03-11,20.09,20.15,20.0,20.07,27600
2021-03-12,19.93,19.95,19.91,19.93,8200
2021-03-15,19.99,20.05,19.97,19.99,11100
2021-03-16,20.0,20.08,19.99,19.99,7000
2021-03-17,19.94,20.15,19.91,20.11,8300
2021-03-18,19.95,19.96,19.91,19.94,23900
2021-03-19,19.86,20.0,19.86,20.0,12700
2021-03-22,19.94,20.03,19.92,19.99,25700
2021-03-23,20.01,20.02,19.97,19.97,9300
2021-03-24,20.0,20.0,19.97,19.99,18600
2021-03-25,19.99,20.01,19.94,19.98,4700
2021-03-26,19.93,19.97,19.9,19.93,23600
2021-03-29,19.97,19.97,19.89,19.92,38200
2021-03-30,19.9,19.97,19.87,19.97,4300
2021-03-31,20.0,20.05,20.0,20.0,9300
2021-04-01,20.02,20.04,20.02,20.02,6000
2021-04-05,19.97,20.01,19.97,20.0,5500
2021-04-06,20.02,20.07,20.02,20.05,11200
2021-04-07,20.03,20.05,19.96,19.97,15900
2021-04-08,20.05,20.08,20.03,20.05,20300
