,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,-2.264502432721376
1,2021-04-01,2021-06-30,2.2063634202815137
2,2021-07-01,2021-09-30,1.2615030482510459
3,2021-10-01,2021-12-31,1.1141701265885595
4,2022-01-03,2022-03-31,-6.784212885950796
5,2022-04-01,2022-06-30,-7.393681350292682
6,2022-07-01,2022-09-30,-5.629688090012489
7,2022-10-03,2022-12-30,-0.8534429499081748
8,2023-01-03,2023-03-31,3.1537206054402307
9,2023-04-03,2023-06-30,-1.5004666531603497
10,2023-07-03,2023-09-29,-4.372268932791582
11,2023-10-02,2023-12-29,6.9204489508926965
