,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,-2.4788590356752587
1,2021-04-01,2021-06-30,0.6390701151026944
2,2021-07-01,2021-09-30,-1.4078802073102636
3,2021-10-01,2021-12-31,0.474454481636326
4,2022-01-03,2022-03-31,-4.950243225383425
5,2022-04-01,2022-06-30,-6.416248081390783
6,2022-07-01,2022-09-30,-4.770621723237707
7,2022-10-03,2022-12-30,0.8175311348935905
8,2023-01-03,2023-03-31,2.294353480315771
9,2023-04-03,2023-06-30,-0.3162972469685424
10,2023-07-03,2023-09-29,-3.209393129241933
11,2023-10-02,2023-12-29,5.384004744765229
