,Date,Govt,ESG,Shariah
0,2021-01-04,300000.0,300000.0,300000.0
1,2021-01-05,297771.99441411707,302176.0511433489,300000.0
2,2021-01-06,291659.26114002796,304573.39562330954,299853.0852105778
3,2021-01-07,289088.48546400917,309368.08458323084,298971.596474045
4,2021-01-08,288155.38910752826,311212.19572166214,299559.2556317335
5,2021-01-11,287679.31953789515,309368.08458323084,298530.8521057785
6,2021-01-12,287450.8061444712,309884.4357019916,298383.93731635634
7,2021-01-13,290688.0792179764,310437.669043521,299559.25563173345
8,2021-01-14,287964.961279675,309257.4379149249,298530.8521057785
9,2021-01-15,289107.5282467945,307376.4445537251,298677.76689520065
10,2021-01-19,290040.6246032754,309921.3179247602,299559.25563173345
11,2021-01-20,290326.26634505525,313941.48020654044,299118.511263467
12,2021-01-21,288288.6885870255,313904.59798377176,298971.5964740449
13,2021-01-22,289221.7849435064,313056.3068600934,299412.34084231127
14,2021-01-25,292630.44306207943,314162.7735431522,299706.1704211555
15,2021-01-26,292078.202361305,313130.07130563067,298824.6816846227
16,2021-01-27,292820.8708899327,305901.15564298007,298824.6816846227
17,2021-01-28,291202.23435318004,308446.0290140152,298971.59647404484
18,2021-01-29,289450.2983369302,302581.75559380377,298530.8521057784
19,2021-02-01,289450.2983369302,307782.14900418,299559.25563173334
20,2021-02-02,287584.1056239684,311728.5468404229,299265.4260528891
21,2021-02-03,285032.37273073493,312281.7801819523,298530.8521057784
22,2021-02-04,284270.66141932196,315970.0024588149,300293.8295788441
23,2021-02-05,281890.3135711564,317076.46914187365,299706.1704211555
24,2021-02-08,283128.0944522025,319731.98918121465,299559.25563173345
25,2021-02-09,283337.56506284105,319215.6380624539,299412.3408423113
26,2021-02-10,285222.8005585882,319289.4025079911,299853.08521057776
27,2021-02-11,283661.2923701916,320174.5758544381,299706.17042115564
28,2021-02-12,280138.3775549066,321871.15810179483,298677.76689520065
29,2021-02-16,275872.7942109939,321428.57142857136,297208.6190009793
30,2021-02-17,277624.73022724374,321059.74920088507,297502.44857982354
31,2021-02-18,276501.2060429096,319621.3425129087,299118.511263467
32,2021-02-19,272825.948965342,319547.57806737145,297502.44857982354
33,2021-02-22,270750.28564174165,316670.7646914186,296914.78942213504
34,2021-02-23,269969.53154754336,315933.1202360461,296767.87463271286
35,2021-02-24,268198.55274850817,319731.98918121454,296327.1302644465
36,2021-02-25,263818.71270788356,311433.4890582738,293976.4936336923
37,2021-02-26,272540.3072235621,309700.0245881484,294857.9823702251
38,2021-03-01,268617.4939697853,317334.6447012539,296327.13026444643
39,2021-03-02,268636.5367525706,315084.82911236776,295739.4711067578
40,2021-03-03,265722.99098641594,309773.78903368564,295004.89715964714
41,2021-03-04,264009.14053573675,304757.80673715257,294711.0675808029
